"","word","n"
"1","of",22
"2","the",22
"3","a",20
"4","that",18
"5","and",16
"6","to",16
"7","in",11
"8","s",11
"9","our",10
"10","is",9
"11","2",8
"12","belarus",7
"13","it",7
"14","this",7
"15","us",7
"16","will",7
"17","colleagues",6
"18","from",6
"19","i",6
"20","on",6
"21","western",6
"22","with",6
"23","be",5
"24","by",5
"25","russia",5
"26","for",4
"27","no",4
"28","not",4
"29","protasevich",4
"30","some",4
"31","t",4
"32","they",4
"33","ukraine",4
"34","you",4
"35","1",3
"36","about",3
"37","are",3
"38","back",3
"39","but",3
"40","eu",3
"41","facts",3
"42","hope",3
"43","how",3
"44","if",3
"45","rf",3
"46","such",3
"47","there",3
"48","today",3
"49","un",3
"50","very",3
"51","were",3
"52","what",3
"53","would",3
"54","3",2
"55","aaron",2
"56","against",2
"57","all",2
"58","also",2
"59","any",2
"60","as",2
"61","better",2
"62","blatant",2
"63","briefers",2
"64","can",2
"65","childrenday",2
"66","comes",2
"67","despite",2
"68","do",2
"69","don",2
"70","donbass",2
"71","everyone",2
"72","good",2
"73","help",2
"74","hopefully",2
"75","its",2
"76","know",2
"77","like",2
"78","make",2
"79","mcfaul",2
"80","mid",2
"81","mr",2
"82","nothing",2
"83","now",2
"84","only",2
"85","p",2
"86","people",2
"87","personal",2
"88","regime",2
"89","russian",2
"90","should",2
"91","slogan",2
"92","still",2
"93","syria",2
"94","their",2
"95","those",2
"96","under",2
"97","w",2
"98","was",2
"99","way",2
"100","we",2
"101","when",2
"102","who",2
"103","willing",2
"104","️",1
"105","1990-",1
"106","2021",1
"107","27",1
"108","3..",1
"109","aaronjmate",1
"110","act",1
"111","action",1
"112","affairs",1
"113","agents",1
"114","agreed",1
"115","aircraft",1
"116","airspace",1
"117","always",1
"118","american",1
"119","americans",1
"120","another",1
"121","appeal",1
"122","approved",1
"123","around",1
"124","arria",1
"125","arrias",1
"126","assessment",1
"127","assistance",1
"128","assume",1
"129","at",1
"130","banning",1
"131","battlefield",1
"132","bbcnews",1
"133","behavior",1
"134","belarusian",1
"135","belarusmid",1
"136","belavia",1
"137","bellingcat",1
"138","bloody",1
"139","brazil",1
"140","bring",1
"141","british",1
"142","calls",1
"143","ceasefire",1
"144","celebrate",1
"145","chance",1
"146","chant",1
"147","child",1
"148","children",1
"149","chose",1
"150","cia",1
"151","claiming",1
"152","clip",1
"153","collegues",1
"154","conclusion",1
"155","confesses",1
"156","continue",1
"157","contravercial",1
"158","covid",1
"159","day",1
"160","dear",1
"161","dec",1
"162","definitely",1
"163","democra",1
"164","denmark",1
"165","deserved",1
"166","detained",1
"167","devaluation",1
"168","development",1
"169","dialogue",1
"170","diplomacy",1
"171","directive",1
"172","dirty",1
"173","discrepancies",1
"174","double",1
"175","doublestandards",1
"176","dozens",1
"177","draw",1
"178","dreams",1
"179","embassybel",1
"180","emboldened",1
"181","emotional",1
"182","encouraging",1
"183","engage",1
"184","euinrussia",1
"185","euro2020",1
"186","european",1
"187","eve",1
"188","everybody",1
"189","evidence",1
"190","experience",1
"191","explanation",1
"192","exploit",1
"193","f",1
"194","fact",1
"195","faina",1
"196","fainasavenkova",1
"197","fantastic",1
"198","filmed",1
"199","financial",1
"200","first",1
"201","flight",1
"202","following",1
"203","forced",1
"204","forceful",1
"205","forget",1
"206","form",1
"207","former",1
"208","frankly",1
"209","freedom",1
"210","frequently",1
"211","friends",1
"212","friendshipday",1
"213","game",1
"214","germany",1
"215","get",1
"216","giving",1
"217","gk",1
"218","glory",1
"219","god",1
"220","grip",1
"221","happy",1
"222","has",1
"223","have",1
"224","he",1
"225","head",1
"226","higher",1
"227","highly",1
"228","his",1
"229","iata",1
"230","icao",1
"231","idlib",1
"232","illusions",1
"233","imagine",1
"234","important",1
"235","interesting",1
"236","internal",1
"237","interview",1
"238","investigate",1
"239","investigated",1
"240","issue",1
"241","jobs",1
"242","journalists",1
"243","just",1
"244","khv",1
"245","kind",1
"246","landing",1
"247","landings",1
"248","last",1
"249","leaders",1
"250","learn",1
"251","left",1
"252","let",1
"253","likely",1
"254","linguistics",1
"255","looking",1
"256","lt",1
"257","luck",1
"258","lukashenko",1
"259","lv",1
"260","making",1
"261","man",1
"262","matter",1
"263","mcgurk",1
"264","means",1
"265","meddling",1
"266","minded",1
"267","mission",1
"268","moment",1
"269","more",1
"270","must",1
"271","narva",1
"272","neighbors",1
"273","netherlands",1
"274","newyork",1
"275","normalcy",1
"276","notice",1
"277","observations",1
"278","open",1
"279","opinion",1
"280","or",1
"281","osce",1
"282","other",1
"283","others",1
"284","outrageos",1
"285","over",1
"286","own",1
"287","panic",1
"288","parliament",1
"289","participate",1
"290","participated",1
"291","pathetic",1
"292","patriotic",1
"293","pay",1
"294","picture",1
"295","plausible",1
"296","political",1
"297","politics",1
"298","presented",1
"299","president",1
"300","pretext",1
"301","prevent",1
"302","previously",1
"303","promotes",1
"304","promotion",1
"305","proof",1
"306","provin",1
"307","quite",1
"308","r",1
"309","ra",1
"310","reading",1
"311","reads",1
"312","ready",1
"313","reality",1
"314","resembled",1
"315","respected",1
"316","right",1
"317","roman",1
"318","rusemb",1
"319","rusembas",1
"320","rusembassyminsk",1
"321","rusembest",1
"322","rusmission",1
"323","russians",1
"324","russiaun",1
"325","ryanair",1
"326","safety",1
"327","same",1
"328","sanction",1
"329","savenkova",1
"330","say",1
"331","securitycouncil",1
"332","seeing",1
"333","shame",1
"334","sharing",1
"335","short",1
"336","shouldn",1
"337","shouting",1
"338","simple",1
"339","simply",1
"340","since",1
"341","situations",1
"342","skills",1
"343","speech",1
"344","spite",1
"345","spread",1
"346","sputnikv",1
"347","standards",1
"348","statements",1
"349","story",1
"350","strengthen",1
"351","succed",1
"352","surprise",1
"353","sustained",1
"354","telling",1
"355","than",1
"356","thaw",1
"357","things",1
"358","translation",1
"359","truth",1
"360","ukun",1
"361","understand",1
"362","used",1
"363","using",1
"364","ussr",1
"365","violation",1
"366","voice",1
"367","want",1
"368","westerne",1
"369","whether",1
"370","whom",1
"371","why",1
"372","wisdom",1
"373","wise",1
"374","wish",1
"375","world",1
"376","writer",1
"377","writers",1
"378","wuhan",1
"379","wuhanlableak",1
"380","your",1
