"","doc_id","word"
"1",1,"i"
"2",2,"spoke"
"3",3,"with"
"4",4,"yair"
"5",5,"lapid"
"6",6,"to"
"7",7,"congratulate"
"8",8,"him"
"9",9,"on"
"10",10,"his"
"11",11,"appointment"
"12",12,"as"
"13",13,"alternate"
"14",14,"prime"
"15",15,"minister"
"16",16,"and"
"17",17,"foreign"
"18",18,"minister"
"19",19,"of"
"20",20,"g7"
"21",21,"leaders"
"22",22,"call"
"23",23,"for"
"24",24,"a"
"25",25,"timely"
"26",26,"transparent"
"27",27,"expert"
"28",28,"led"
"29",29,"science"
"30",30,"based"
"31",31,"who"
"32",32,"convened"
"33",33,"phase"
"34",34,"2"
"35",35,"covid"
"36",36,"19"
"37",37,"origins"
"38",38,"study"
"39",39,"a"
"40",40,"commitment"
"41",41,"to"
"42",42,"a"
"43",43,"billion"
"44",44,"vaccines"
"45",45,"is"
"46",46,"about"
"47",47,"putting"
"48",48,"shots"
"49",49,"in"
"50",50,"arms"
"51",51,"not"
"52",52,"twisting"
"53",53,"arms"
"54",54,"in"
"55",55,"countries"
"56",56,"around"
"57",57,"the"
"58",58,"world"
"59",59,"we"
"60",60,"re"
"61",61,"now"
"62",62,"in"
"63",63,"a"
"64",64,"position"
"65",65,"as"
"66",66,"a"
"67",67,"result"
"68",68,"of"
"69",69,"reinvigorated"
"70",70,"american"
"71",71,"leadership"
"72",72,"to"
"73",73,"work"
"74",74,"with"
"75",75,"allies"
"76",76,"and"
"77",77,"partners"
"78",78,"in"
"79",79,"common"
"80",80,"spoke"
"81",81,"today"
"82",82,"with"
"83",83,"martharaddatz"
"84",84,"on"
"85",85,"thisweekabc"
"86",86,"about"
"87",87,"the"
"88",88,"g7"
"89",89,"meetings"
"90",90,"which"
"91",91,"have"
"92",92,"demonstrated"
"93",93,"that"
"94",94,"democracies"
"95",95,"com"
"96",96,"glad"
"97",97,"to"
"98",98,"meet"
"99",99,"with"
"100",100,"my"
"101",101,"friend"
"102",102,"republic"
"103",103,"of"
"104",104,"korea"
"105",105,"foreign"
"106",106,"minister"
"107",107,"chung"
"108",108,"eui"
"109",109,"yong"
"110",110,"in"
"111",111,"cornwall"
"112",112,"to"
"113",113,"discuss"
"114",114,"multilateral"
"115",115,"the"
"116",116,"u"
"117",117,"s"
"118",118,"welcomes"
"119",119,"the"
"120",120,"release"
"121",121,"by"
"122",122,"azerbaijan"
"123",123,"of"
"124",124,"15"
"125",125,"armenian"
"126",126,"detainees"
"127",127,"we"
"128",128,"re"
"129",129,"grateful"
"130",130,"to"
"131",131,"the"
"132",132,"government"
"133",133,"of"
"134",134,"georgia"
"135",135,"f"
"136",136,"today"
"137",137,"is"
"138",138,"gulshan"
"139",139,"abbas"
"140",140,"s"
"141",141,"59"
"142",142,"th"
"143",143,"birthday"
"144",144,"the"
"145",145,"third"
"146",146,"one"
"147",147,"she"
"148",148,"has"
"149",149,"spent"
"150",150,"unjustly"
"151",151,"imprisoned"
"152",152,"in"
"153",153,"xinjiang"
"154",154,"her"
"155",155,"loved"
"156",156,"ones"
"157",157,"potus"
"158",158,"and"
"159",159,"i"
"160",160,"have"
"161",161,"made"
"162",162,"clear"
"163",163,"that"
"164",164,"the"
"165",165,"united"
"166",166,"states"
"167",167,"prioritizes"
"168",168,"respect"
"169",169,"for"
"170",170,"human"
"171",171,"rights"
"172",172,"including"
"173",173,"for"
"174",174,"lgbtqi"
"175",175,"pe"
"176",176,"as"
"177",177,"of"
"178",178,"last"
"179",179,"year"
