"","word","n"
"1","the",189
"2","to",110
"3","and",102
"4","secblinken",74
"5","of",70
"6","with",68
"7","in",65
"8","s",65
"9","today",47
"10","we",45
"11","a",41
"12","our",40
"13","minister",35
"14","on",35
"15","foreign",34
"16","u",34
"17","for",33
"18","is",32
"19","spoke",26
"20","met",21
"21","as",20
"22","discuss",15
"23","president",14
"24","are",12
"25","his",11
"26","people",11
"27","that",11
"28","they",11
"29","will",11
"30","commitment",10
"31","efforts",10
"32","it",10
"33","states",10
"34","united",10
"35","about",9
"36","by",8
"37","secretary",8
"38","shared",8
"39","support",8
"40","at",7
"41","cooperation",7
"42","discussed",7
"43","from",7
"44","has",7
"45","human",7
"46","leaders",7
"47","potus",7
"48","rights",7
"49","th",7
"50","costa",6
"51","israeli",6
"52","partners",6
"53","republic",6
"54","statedept",6
"55","this",6
"56","together",6
"57","who",6
"58","working",6
"59","an",5
"60","central",5
"61","day",5
"62","have",5
"63","he",5
"64","meeting",5
"65","nato",5
"66","one",5
"67","prime",5
"68","regime",5
"69","relationship",5
"70","said",5
"71","sica",5
"72","strong",5
"73","violence",5
"74","against",4
"75","ashkenazi",4
"76","bank",4
"77","be",4
"78","call",4
"79","end",4
"80","find",4
"81","g",4
"82","gabi",4
"83","humanitarian",4
"84","icelandic",4
"85","important",4
"86","independent",4
"87","international",4
"88","lgbtqi",4
"89","ll",4
"90","made",4
"91","must",4
"92","priorities",4
"93","re",4
"94","reaffirm",4
"95","regional",4
"96","rica",4
"97","t",4
"98","thank",4
"99","their",4
"100","those",4
"101","uae",4
"102","were",4
"103","west",4
"104","you",4
"105","000",3
"106","address",3
"107","africa",3
"108","after",3
"109","all",3
"110","alternate",3
"111","america",3
"112","american",3
"113","anniversary",3
"114","arctic",3
"115","assistance",3
"116","believe",3
"117","bilateral",3
"118","bring",3
"119","cairo",3
"120","celebrate",3
"121","china",3
"122","climate",3
"123","community",3
"124","condemn",3
"125","copenhagen",3
"126","due",3
"127","election",3
"128","faith",3
"129","former",3
"130","forward",3
"131","g7",3
"132","general",3
"133","government",3
"134","greenland",3
"135","help",3
"136","how",3
"137","if",3
"138","importance",3
"139","israelis",3
"140","its",3
"141","jerusalem",3
"142","june",3
"143","korea",3
"144","leader",3
"145","m",3
"146","meet",3
"147","mexico",3
"148","more",3
"149","no",3
"150","ocean",3
"151","ongoing",3
"152","opposition",3
"153","or",3
"154","palestinian",3
"155","part",3
"156","partnership",3
"157","provide",3
"158","reaffirmed",3
"159","release",3
"160","restrictions",3
"161","reykjavik",3
"162","sanctions",3
"163","security",3
"164","sg",3
"165","travel",3
"166","two",3
"167","w",3
"168","was",3
"169","way",3
"170","ways",3
"171","where",3
"172","which",3
"173","work",3
"174","2",2
"175","2021",2
"176","abdullah",2
"177","advance",2
"178","advancing",2
"179","affairs",2
"180","alliance",2
"181","allies",2
"182","along",2
"183","always",2
"184","announced",2
"185","appointment",2
"186","arabia",2
"187","armenia",2
"188","arrived",2
"189","azerbaijan",2
"190","belarus",2
"191","belarusian",2
"192","best",2
"193","bin",2
"194","black",2
"195","bulgarian",2
"196","calls",2
"197","can",2
"198","care",2
"199","carlosalvq",2
"200","ceasefire",2
"201","change",2
"202","civil",2
"203","co",2
"204","collaboration",2
"205","communities",2
"206","condemns",2
"207","condolences",2
"208","congratulations",2
"209","continue",2
"210","conversation",2
"211","corruption",2
"212","countries",2
"213","country",2
"214","current",2
"215","danish",2
"216","decades",2
"217","decision",2
"218","deepest",2
"219","defense",2
"220","deliver",2
"221","democratic",2
"222","detained",2
"223","dialogue",2
"224","diplomacy",2
"225","discrimination",2
"226","discussion",2
"227","disregard",2
"228","down",2
"229","during",2
"230","eighth",2
"231","elections",2
"232","emphasized",2
"233","eu",2
"234","every",2
"235","first",2
"236","five",2
"237","foundation",2
"238","four",2
"239","free",2
"240","future",2
"241","gantzbe",2
"242","gaza",2
"243","german",2
"244","great",2
"245","happening",2
"246","health",2
"247","heikomaas",2
"248","held",2
"249","helped",2
"250","high",2
"251","highlight",2
"252","hong",2
"253","i",2
"254","immigrants",2
"255","impose",2
"256","inspired",2
"257","int",2
"258","investments",2
"259","israel",2
"260","issues",2
"261","j",2
"262","join",2
"263","joins",2
"264","journalists",2
"265","key",2
"266","kong",2
"267","law",2
"268","leadership",2
"269","lives",2
"270","looks",2
"271","lukashenka",2
"272","members",2
"273","million",2
"274","ministerial",2
"275","nations",2
"276","nearly",2
"277","need",2
"278","next",2
"279","nicaraguan",2
"280","not",2
"281","offer",2
"282","organizations",2
"283","other",2
"284","outraged",2
"285","p",2
"286","palestinians",2
"287","partner",2
"288","pepfar",2
"289","persons",2
"290","political",2
"291","prc",2
"292","presidential",2
"293","press",2
"294","public",2
"295","qatar",2
"296","ramallah",2
"297","recognized",2
"298","reduce",2
"299","region",2
"300","reiterated",2
"301","remarks",2
"302","representative",2
"303","respect",2
"304","response",2
"305","rican",2
"306","samoa",2
"307","saudi",2
"308","since",2
"309","so",2
"310","staff",2
"311","steps",2
"312","sudan",2
"313","supports",2
"314","sympathies",2
"315","tensions",2
"316","thanked",2
"317","traveling",2
"318","turkish",2
"319","un",2
"320","under",2
"321","unjustly",2
"322","up",2
"323","very",2
"324","violeta",2
"325","virtual",2
"326","visa",2
"327","visit",2
"328","visiting",2
"329","welcome",2
"330","welcomed",2
"331","welcomes",2
"332","what",2
"333","while",2
"334","without",2
"335","year",2
"336","years",2
"337","yemeni",2
"338","zayed",2
"339","1-2.",1
"340","1.3",1
"341","10-16",1
"342","12",1
"343","160",1
"344","19",1
"345","1944",1
"346","206",1
"347","21",1
