"","doc_id","word"
"1",1,"equitable"
"2",2,"global"
"3",3,"vaccine"
"4",4,"access"
"5",5,"is"
"6",6,"a"
"7",7,"priority"
"8",8,"for"
"9",9,"today"
"10",10,"scottmorrisonmp"
"11",11,"announced"
"12",12,"australia"
"13",13,"will"
"14",14,"commit"
"15",15,"an"
"16",16,"ad"
"17",17,"australia"
"18",18,"is"
"19",19,"working"
"20",20,"with"
"21",21,"solomonislands"
"22",22,"to"
"23",23,"combat"
"24",24,"covid19"
"25",25,"amp"
"26",26,"protect"
"27",27,"our"
"28",28,"region"
"29",29,"today"
"30",30,"received"
"31",31,"its"
"32",32,"first"
"33",33,"deli"
"34",34,"amp"
"35",35,"are"
"36",36,"strategic"
"37",37,"partners"
"38",38,"with"
"39",39,"global"
"40",40,"responsibility"
"41",41,"the"
"42",42,"enhanced"
"43",43,"strategic"
"44",44,"partnership"
"45",45,"i"
"46",46,"signed"
"47",47,"with"
"48",48,"is"
"49",49,"working"
"50",50,"with"
"51",51,"in"
"52",52,"its"
"53",53,"economic"
"54",54,"recovery"
"55",55,"from"
"56",56,"covid"
"57",57,"including"
"58",58,"additional"
"59",59,"20"
"60",60,"m"
"61",61,"support"
"62",62,"for"
"63",63,"community"
"64",64,"infrast"
"65",65,"prevention"
"66",66,"is"
"67",67,"a"
"68",68,"cornerstone"
"69",69,"of"
"70",70,"the"
"71",71,"hiv"
"72",72,"response"
"73",73,"was"
"74",74,"pleased"
"75",75,"to"
"76",76,"play"
"77",77,"a"
"78",78,"key"
"79",79,"role"
"80",80,"in"
"81",81,"the"
"82",82,"political"
"83",83,"declaration"
"84",84,"ad"
"85",85,"the"
"86",86,"importance"
"87",87,"of"
"88",88,"our"
"89",89,"special"
"90",90,"strategic"
"91",91,"partnership"
"92",92,"with"
"93",93,"japan"
"94",94,"has"
"95",95,"never"
"96",96,"been"
"97",97,"greater"
"98",98,"today"
"99",99,"i"
"100",100,"joined"
"101",101,"many"
"102",102,"thanks"
"103",103,"for"
"104",104,"such"
"105",105,"a"
"106",106,"productive"
"107",107,"meeting"
"108",108,"today"
"109",109,"with"
"110",110,"s"
"111",111,"torres"
"112",112,"strait"
"113",113,"regional"
"114",114,"leaders"
"115",115,"on"
"116",116,"health"
"117",117,"amp"
"118",118,"security"
"119",119,"in"
"120",120,"th"
"121",121,"interview"
"122",122,"with"
"123",123,"2"
"124",124,"gb873"
"125",125,"s"
"126",126,"jimwilsonmedia"
"127",127,"australia"
"128",128,"is"
"129",129,"part"
"130",130,"of"
"131",131,"the"
"132",132,"pacific"
"133",133,"ocean"
"134",134,"family"
"135",135,"amp"
"136",136,"together"
"137",137,"we"
"138",138,"manage"
"139",139,"20"
"140",140,"of"
"141",141,"the"
"142",142,"world"
"143",143,"s"
"144",144,"ocean"
"145",145,"is"
"146",146,"partnering"
"147",147,"with"
"148",148,"sport"
"149",149,"sits"
"150",150,"close"
"151",151,"to"
"152",152,"the"
"153",153,"heart"
"154",154,"of"
"155",155,"s"
"156",156,"special"
"157",157,"bond"
"158",158,"with"
"159",159,"the"
"160",160,"pacific"
"161",161,"pacificaussports"
"162",162,"is"
"163",163,"partnering"
"164",164,"with"
"165",165,"the"
"166",166,"austr"
"167",167,"across"
"168",168,"western"
"169",169,"sydney"
"170",170,"the"
"171",171,"morrison"
"172",172,"government"
"173",173,"is"
"174",174,"investing"
"175",175,"in"
"176",176,"the"
"177",177,"infrastructure"
"178",178,"we"
"179",179,"need"
"180",180,"to"
"181",181,"secure"
"182",182,"our"
"183",183,"recovery"
"184",184,"i"
"185",185,"a"
"186",186,"raaf"
"187",187,"c"
"188",188,"17"
"189",189,"a"
"190",190,"will"
"191",191,"deliver"
"192",192,"oxygen"
"193",193,"equipment"
"194",194,"to"
"195",195,"amp"
"196",196,"ppe"
"197",197,"donated"
"198",198,"by"
"199",199,"the"
"200",200,"wagovernment"
"201",201,"to"
"202",202,"amp"
"203",203,"recognises"
"204",204,"the"
"205",205,"one"
"206",206,"year"
"207",207,"after"
"208",208,"elevating"
"209",209,"our"
"210",210,"ties"
"211",211,"with"
"212",212,"india"
"213",213,"to"
"214",214,"the"
"215",215,"level"
"216",216,"of"
"217",217,"comprehensive"
"218",218,"strategic"
"219",219,"partnership"
"220",220,"our"
"221",221,"relationship"
"222",222,"supports"
"223",223,"covax"
"224",224,"in"
"225",225,"providing"
"226",226,"safe"
"227",227,"amp"
"228",228,"effective"
"229",229,"vaccines"
"230",230,"alongside"
"231",231,"our"
"232",232,"commitment"
"233",233,"to"
"234",234,"support"
"235",235,"vaccine"
"236",236,"access"
"237",237,"for"
"238",238,"ou"
"239",239,"the"
"240",240,"middle"
"241",241,"east"
"242",242,"ceasefire"
"243",243,"is"
"244",244,"vital"
"245",245,"for"
"246",246,"enabling"
"247",247,"israel"
"248",248,"amp"
"249",249,"the"
"250",250,"palestinian"
"251",251,"authority"
"252",252,"to"
"253",253,"focus"
"254",254,"on"
"255",255,"reaching"
"256",256,"a"
"257",257,"durable"
"258",258,"amp"
"259",259,"congratulations"
"260",260,"to"
"261",261,"mathiascormann"
"262",262,"now"
"263",263,"formally"
"264",264,"oecd"
"265",265,"secretary"
"266",266,"general"
"267",267,"as"
"268",268,"marks"
"269",269,"50"
"270",270,"years"
"271",271,"of"
"272",272,"oecd"
"273",273,"membership"
"274",274,"with"
"275",275,"current"
"276",276,"regional"
"277",277,"challenges"
"278",278,"is"
"279",279,"providing"
"280",280,"5"
"281",281,"m"
"282",282,"to"
"283",283,"partners"
"284",284,"in"
"285",285,"bangladesh"
"286",286,"to"
"287",287,"help"
"288",288,"minimise"
"289",289,"the"
"290",290,"impacts"
"291",291,"of"
"292",292,"covi"
"293",293,"prime"
"294",294,"minister"
"295",295,"scottmorrisonmp"
"296",296,"and"
"297",297,"prime"
"298",298,"minister"
"299",299,"jacindaardern"
"300",300,"onside"
"301",301,"to"
"302",302,"celebrate"
"303",303,"our"
"304",304,"successful"
"305",305,"bid"
"306",306,"to"
"307",307,"c"
"308",308,"congratulations"
"309",309,"again"
"310",310,"to"
"311",311,"robfloyd"
"312",312,"and"
"313",313,"thanks"
"314",314,"to"
"315",315,"the"
"316",316,"many"
"317",317,"who"
"318",318,"supported"
"319",319,"him"
"320",320,"proud"
"321",321,"to"
"322",322,"see"
"323",323,"an"
"324",324,"australian"
"325",325,"at"
"326",326,"the"
"327",327,"he"
"328",328,"is"
"329",329,"delivering"
"330",330,"on"
"331",331,"our"
"332",332,"commitment"
"333",333,"to"
"334",334,"comprehensive"
"335",335,"vaccination"
"336",336,"coverage"
"337",337,"in"
"338",338,"our"
"339",339,"region"
"340",340,"so"
"341",341,"far"
"342",342,"has"
"343",343,"shared"
"344",344,"198"
"345",345,"0"
"346",346,"australia"
"347",347,"is"
"348",348,"working"
"349",349,"closely"
"350",350,"with"
"351",351,"our"
"352",352,"partner"
"353",353,"as"
"354",354,"they"
"355",355,"combat"
"356",356,"covid"
"357",357,"19."
"358",358,"a"
"359",359,"further"
"360",360,"20"
"361",361,"000"
"362",362,"made"
"363",363,"vaccines"
"364",364,"deliver"
"365",365,"important"
"366",366,"discussions"
"367",367,"this"
"368",368,"week"
"369",369,"with"
"370",370,"israel"
"371",371,"fm"
"372",372,"gabi"
"373",373,"ashkenazi"
"374",374,"amp"
"375",375,"palestinian"
"376",376,"authority"
"377",377,"fm"
"378",378,"riad"
"379",379,"malki"
"380",380,"i"
"381",381,"welcomed"
"382",382,"interview"
"383",383,"with"
"384",384,"liambartlett9"
"385",385,"on"
"386",386,"6"
"387",387,"pr"
"388",388,"speaking"
"389",389,"with"
"390",390,"sabralane"
"391",391,"on"
"392",392,"the"
"393",393,"abc"
"394",394,"s"
"395",395,"am"
"396",396,"program"
"397",397,"australia"
"398",398,"strongly"
"399",399,"condemns"
"400",400,"the"
"401",401,"interception"
"402",402,"and"
"403",403,"forced"
"404",404,"landing"
"405",405,"of"
"406",406,"a"
"407",407,"commercial"
"408",408,"flight"
"409",409,"by"
"410",410,"the"
"411",411,"government"
"412",412,"of"
"413",413,"belarus"
"414",414,"australia"
"415",415,"values"
"416",416,"our"
"417",417,"close"
"418",418,"friendship"
"419",419,"with"
"420",420,"samoa"
"421",421,"it"
"422",422,"is"
"423",423,"important"
"424",424,"that"
"425",425,"all"
"426",426,"parties"
"427",427,"respect"
"428",428,"the"
"429",429,"rule"
"430",430,"of"
"431",431,"law"
"432",432,"and"
"433",433,"demo"
"434",434,"on"
"435",435,"this"
"436",436,"day"
"437",437,"in"
"438",438,"1946"
"439",439,"australia"
"440",440,"s"
"441",441,"first"
"442",442,"consulate"
"443",443,"was"
"444",444,"opened"
"445",445,"in"
"446",446,"the"
"447",447,"philippines"
"448",448,"today"
"449",449,"we"
"450",450,"celebrate"
"451",451,"the"
"452",452,"strength"
"453",453,"a"
"454",454,"third"
"455",455,"flight"
"456",456,"of"
"457",457,"emergency"
"458",458,"supplies"
"459",459,"including"
"460",460,"888"
"461",461,"ventilators"
"462",462,"is"
"463",463,"on"
"464",464,"its"
"465",465,"way"
"466",466,"to"
"467",467,"new"
"468",468,"delhi"
"469",469,"to"
"470",470,"support"
"471",471,"india"
"472",472,"s"
"473",473,"covi"
"474",474,"statement"
"475",475,"on"
"476",476,"dr"
"477",477,"yang"
"478",478,"hengjun"
"479",479,"️"
"480",480,"australia"
"481",481,"welcomes"
"482",482,"the"
"483",483,"ceasefire"
"484",484,"between"
"485",485,"israel"
"486",486,"amp"
"487",487,"hamas"
"488",488,"we"
"489",489,"urge"
"490",490,"all"
"491",491,"parties"
"492",492,"to"
"493",493,"abide"
"494",494,"by"
"495",495,"the"
"496",496,"agreement"
"497",497,"amp"
"498",498,"return"
"499",499,"to"
"500",500,"is"
"501",501,"partnering"
"502",502,"with"
"503",503,"bangladesh"
"504",504,"nepal"
"505",505,"and"
"506",506,"sri"
"507",507,"lanka"
"508",508,"in"
"509",509,"their"
"510",510,"response"
"511",511,"to"
"512",512,"increasing"
"513",513,"covid"
"514",514,"19"
"515",515,"cases"
"516",516,"we"
"517",517,"will"
"518",518,"provi"
"519",519,"ensuring"
"520",520,"supplies"
"521",521,"reach"
"522",522,"vulnerable"
"523",523,"communities"
"524",524,"is"
"525",525,"key"
"526",526,"to"
"527",527,"africa"
"528",528,"s"
"529",529,"recovery"
"530",530,"from"
"531",531,"covid"
"532",532,"humanitarian"
"533",533,"access"
"534",534,"amp"
"535",535,"endi"
"536",536,"a"
"537",537,"strong"
"538",538,"partnership"
"539",539,"for"
"540",540,"covid19"
"541",541,"recovery"
"542",542,"with"
"543",543,"our"
"544",544,"vuvale"
"545",545,"dfat"
"546",546,"zedseselja"
"547",547,"congratulations"
"548",548,"to"
"549",549,"robfloyd"
"550",550,"on"
"551",551,"his"
"552",552,"election"
"553",553,"as"
"554",554,"exec"
"555",555,"sec"
"556",556,"of"
"557",557,"the"
"558",558,"comprehensive"
"559",559,"nuclear"
"560",560,"test"
"561",561,"ban"
"562",562,"treaty"
"563",563,"organisation"
"564",564,"australia"
"565",565,"is"
"566",566,"supporting"
"567",567,"our"
"568",568,"pacific"
"569",569,"amp"
"570",570,"timor"
"571",571,"leste"
"572",572,"partners"
"573",573,"as"
"574",574,"we"
"575",575,"work"
"576",576,"together"
