"","word","n"
"1","the",30
"2","to",28
"3","with",19
"4","is",17
"5","amp",14
"6","of",13
"7","our",13
"8","a",12
"9","on",11
"10","australia",10
"11","in",10
"12","s",9
"13","and",6
"14","for",6
"15","we",6
"16","as",5
"17","today",5
"18","covid",4
"19","i",4
"20","israel",4
"21","partnership",4
"22","recovery",4
"23","strategic",4
"24","20",3
"25","access",3
"26","by",3
"27","comprehensive",3
"28","congratulations",3
"29","covid19",3
"30","from",3
"31","its",3
"32","pacific",3
"33","palestinian",3
"34","partnering",3
"35","partners",3
"36","region",3
"37","support",3
"38","will",3
"39","working",3
"40","2",2
"41","ad",2
"42","all",2
"43","an",2
"44","authority",2
"45","bangladesh",2
"46","c",2
"47","ceasefire",2
"48","celebrate",2
"49","close",2
"50","combat",2
"51","commitment",2
"52","covi",2
"53","deliver",2
"54","dfat",2
"55","first",2
"56","flight",2
"57","fm",2
"58","gb873",2
"59","global",2
"60","government",2
"61","has",2
"62","important",2
"63","including",2
"64","india",2
"65","interview",2
"66","jimwilsonmedia",2
"67","key",2
"68","m",2
"69","many",2
"70","minister",2
"71","ocean",2
"72","oecd",2
"73","parties",2
"74","prime",2
"75","providing",2
"76","regional",2
"77","response",2
"78","robfloyd",2
"79","scottmorrisonmp",2
"80","speaking",2
"81","special",2
"82","statement",2
"83","supplies",2
"84","thanks",2
"85","this",2
"86","together",2
"87","vaccine",2
"88","vaccines",2
"89","was",2
"90","️",1
"91","0",1
"92","000",1
"93","17",1
"94","19",1
"95","19.",1
"96","1946",1
"97","198",1
"98","5",1
"99","50",1
"100","6",1
"101","888",1
"102","abc",1
"103","abide",1
"104","across",1
"105","additional",1
"106","africa",1
"107","after",1
"108","again",1
"109","agreement",1
"110","alongside",1
"111","am",1
"112","announced",1
"113","are",1
"114","ashkenazi",1
"115","at",1
"116","austr",1
"117","australian",1
"118","australiaun",1
"119","ban",1
"120","been",1
"121","belarus",1
"122","between",1
"123","bid",1
"124","bond",1
"125","cases",1
"126","challenges",1
"127","closely",1
"128","commercial",1
"129","commit",1
"130","communities",1
"131","community",1
"132","condemns",1
"133","conflict",1
"134","consulate",1
"135","cornerstone",1
"136","covax",1
"137","coverage",1
"138","current",1
"139","day",1
"140","declaration",1
"141","delhi",1
"142","deli",1
"143","delivering",1
"144","demo",1
"145","discussions",1
"146","donated",1
"147","dr",1
"148","durable",1
"149","east",1
"150","economic",1
"151","effective",1
"152","election",1
"153","elevating",1
"154","emergency",1
"155","enabling",1
"156","endi",1
"157","enhanced",1
"158","ensuring",1
"159","equipment",1
"160","equitable",1
"161","exec",1
"162","family",1
"163","far",1
"164","focus",1
"165","forced",1
"166","formally",1
"167","friendship",1
"168","further",1
"169","gabi",1
"170","general",1
"171","greater",1
"172","hamas",1
"173","he",1
"174","health",1
"175","heart",1
"176","help",1
"177","hengjun",1
"178","him",1
"179","his",1
"180","hiv",1
"181","humanitarian",1
"182","impacts",1
"183","importance",1
"184","increasing",1
"185","infrast",1
"186","infrastructure",1
"187","interception",1
"188","investing",1
"189","it",1
"190","jacindaardern",1
"191","japan",1
"192","joined",1
"193","landing",1
"194","lanka",1
"195","law",1
"196","leaders",1
"197","leste",1
"198","level",1
"199","liambartlett9",1
"200","made",1
"201","malki",1
"202","manage",1
"203","marks",1
"204","mathiascormann",1
"205","meeting",1
"206","membership",1
"207","middle",1
"208","minimise",1
"209","morrison",1
"210","need",1
"211","nepal",1
"212","never",1
"213","new",1
"214","now",1
"215","nuclear",1
"216","one",1
"217","onside",1
"218","opened",1
"219","organisation",1
"220","ou",1
"221","oxygen",1
"222","pacificaussports",1
"223","part",1
"224","partner",1
"225","philippines",1
"226","play",1
"227","pleased",1
"228","political",1
"229","ppe",1
"230","pr",1
"231","prevention",1
"232","priority",1
"233","productive",1
"234","program",1
"235","protect",1
"236","proud",1
"237","provi",1
"238","raaf",1
"239","reach",1
"240","reaching",1
"241","received",1
"242","recognises",1
"243","recover",1
"244","relationship",1
"245","respect",1
"246","responsibility",1
"247","return",1
"248","riad",1
"249","role",1
"250","rule",1
"251","sabralane",1
"252","safe",1
"253","samoa",1
"254","sec",1
"255","secretary",1
"256","secure",1
"257","security",1
"258","see",1
"259","shared",1
"260","signed",1
"261","sits",1
"262","so",1
"263","solomonislands",1
"264","sport",1
"265","sri",1
"266","strait",1
"267","strength",1
"268","strong",1
"269","strongly",1
"270","successful",1
"271","such",1
"272","supported",1
"273","supporting",1
"274","supports",1
"275","sydney",1
"276","territories",1
"277","test",1
"278","th",1
"279","that",1
"280","their",1
"281","they",1
"282","third",1
"283","ties",1
"284","timor",1
"285","torres",1
"286","treaty",1
"287","unsc",1
"288","urge",1
"289","vaccination",1
"290","values",1
"291","ventilators",1
"292","vital",1
"293","vulnerable",1
"294","vuvale",1
"295","wagovernment",1
"296","way",1
"297","week",1
"298","welcomed",1
"299","welcomes",1
"300","western",1
"301","who",1
"302","work",1
"303","world",1
"304","yang",1
"305","year",1
"306","years",1
"307","zedseselja",1
