"","word","n"
"1","the",147
"2","of",67
"3","in",59
"4","to",59
"5","a",50
"6","china",44
"7","and",40
"8","s",31
"9","is",25
"10","for",22
"11","has",18
"12","amp",17
"13","with",16
"14","by",15
"15","chinese",15
"16","from",14
"17","an",13
"18","on",13
"19","years",13
"20","people",12
"21","as",11
"22","it",11
"23","was",11
"24","that",10
"25","are",9
"26","been",9
"27","country",9
"28","cpc",9
"29","have",9
"30","its",8
"31","president",8
"32","their",8
"33","this",8
"34","us",8
"35","xi",8
"36","at",7
"37","countries",7
"38","development",7
"39","his",7
"40","world",7
"41","yan",7
"42","like",6
"43","national",6
"44","or",6
"45","th",6
"46","we",6
"47","1",5
"48","2",5
"49","all",5
"50","not",5
"51","rice",5
"52","what",5
"53","who",5
"54","always",4
"55","area",4
"56","community",4
"57","cooperation",4
"58","democracy",4
"59","different",4
"60","he",4
"61","i",4
"62","jinping",4
"63","just",4
"64","mars",4
"65","now",4
"66","one",4
"67","other",4
"68","see",4
"69","shanghai",4
"70","than",4
"71","there",4
"72","today",4
"73","will",4
"74","100",3
"75","193",3
"76","announced",3
"77","back",3
"78","bbc",3
"79","be",3
"80","before",3
"81","ceec",3
"82","college",3
"83","elephants",3
"84","entrance",3
"85","european",3
"86","expo",3
"87","famous",3
"88","festival",3
"89","forward",3
"90","global",3
"91","happy",3
"92","how",3
"93","hybrid",3
"94","international",3
"95","known",3
"96","made",3
"97","major",3
"98","more",3
"99","nd",3
"100","never",3
"101","no",3
"102","own",3
"103","real",3
"104","right",3
"105","river",3
"106","since",3
"107","state",3
"108","support",3
"109","system",3
"110","themselves",3
"111","truth",3
"112","up",3
"113","way",3
"114","when",3
"115","wild",3
"116","13",2
"117","15",2
"118","1935",2
"119","1937",2
"120","1948",2
"121","2030",2
"122","80",2
"123","according",2
"124","after",2
"125","agronomist",2
"126","airport",2
"127","almost",2
"128","also",2
"129","annual",2
"130","another",2
"131","attended",2
"132","bay",2
"133","beautiful",2
"134","beijing",2
"135","big",2
"136","boat",2
"137","both",2
"138","bridge",2
"139","business",2
"140","but",2
"141","can",2
"142","carbon",2
"143","carved",2
"144","center",2
"145","chairman",2
"146","challenge",2
"147","city",2
"148","committed",2
"149","companies",2
"150","conflict",2
"151","congratulatory",2
"152","congress",2
"153","could",2
"154","councilor",2
"155","cover",2
"156","d",2
"157","desert",2
"158","differ",2
"159","diplomatic",2
"160","do",2
"161","does",2
"162","dragon",2
"163","dragonboatfestival",2
"164","e",2
"165","ensure",2
"166","escaped",2
"167","father",2
"168","first",2
"169","food",2
"170","former",2
"171","found",2
"172","four",2
"173","gaokao",2
"174","gba",2
"175","globally",2
"176","greater",2
"177","green",2
"178","growing",2
"179","guangdong",2
"180","guard",2
"181","h",2
"182","had",2
"183","her",2
"184","hero",2
"185","high",2
"186","history",2
"187","hongkong",2
"188","human",2
"189","including",2
"190","intelligence",2
"191","internet",2
"192","issue",2
"193","itself",2
"194","june",2
"195","landing",2
"196","largest",2
"197","led",2
"198","less",2
"199","letter",2
"200","local",2
"201","luochuan",2
"202","macao",2
"203","make",2
"204","mao",2
"205","marine",2
"206","may",2
"207","modern",2
"208","moved",2
"209","multilateralism",2
"210","must",2
"211","nanniwan",2
"212","nearly",2
"213","new",2
"214","non",2
"215","nujiang",2
"216","once",2
"217","our",2
"218","out",2
"219","over",2
"220","pakistan",2
"221","path",2
"222","per",2
"223","population",2
"224","qinghailake",2
"225","question",2
"226","region",2
"227","remarks",2
"228","resilience",2
"229","resolution",2
"230","running",2
"231","safety",2
"232","sends",2
"233","sent",2
"234","set",2
"235","shi",2
"236","shows",2
"237","social",2
"238","some",2
"239","song",2
"240","story",2
"241","strength",2
"242","strong",2
"243","students",2
"244","t",2
"245","taiwan",2
"246","taken",2
"247","talk",2
"248","testing",2
"249","these",2
"250","they",2
"251","tianwen1",2
"252","times",2
"253","took",2
"254","tracing",2
"255","upholding",2
"256","vegetables",2
"257","via",2
"258","video",2
"259","village",2
"260","villagers",2
"261","war",2
"262","words",2
"263","work",2
"264","worldwide",2
"265","xinjiang",2
"266","yuan",2
